ScientificName,common_name,classification,measurement,a,b
Atherinops affinis,topsmelt,fish,total length,2.17E-05,2.59
Atherinopsis californiensis,Jacksmelt,fish,total length,2.23E-06,3.354
Atractoscion nobilis,white sea bass,fish,total length,0.012933659,2.92167
Aulorhynchus flavidus,tubesnout,fish,total length,4.36E-04,3.43
Balistes polylepis,finescale triggerfish,fish,total length,0.0547,2.66
Brachyistius frenatus,kelp surfperch,fish,total length,0.011443793,3.3596
Caulolatilus princeps,ocean whitefish,fish,total length,0.005962944,3.19
Cebidichthys violaceus,monkeyface prickleback,fish,total length,0.01289,2.9
Cephaloscyllium ventriosum,swell shark,fish,total length,1.59E-05,2.88
Cheilotrema saturnum,black croaker,fish,total length,0.033447217,2.9223
Chirolophis nugator,NA,fish,total length,0.008980509,2.952
Chitonotus pugetensis,roughback sculpin,fish,total length,0.005,3.268
Chromis punctipinnis,blacksmith,fish,total length,0.0082,3.255
Citharichthys spp.,sanddab,fish,total length,0.0052,3.2325
Citharichthys sordidus,pacific sanddab,fish,total length,0.0052,3.2325
Citharichthys stigmaeus,speckled sanddab,fish,total length,0.0052,3.2325
Clinocottus analis,NA,fish,total length,0.015796077,2.958
Cymatogaster aggregata,shiner surfperch,fish,total length,0.018514423,3.162
Embiotoca jacksoni,black surfperch,fish,total length,0.016884569,3.3244
Embiotoca lateralis,striped surfperch,fish,total length,0.015758712,3.01
Hypsurus caryi,rainbow surfperch,fish,total length,0.015758712,3.01
Engraulis mordax,northern anchovy,fish,total length,0.0485,2.413
Enophrys bison,NA,fish,total length,1.61E-05,3.055
Galeorhinus galeus,tope shark,fish,total length,0.006599022,2.9285
Gibbonsia,kelpfish,fish,total length,0.0031,3.243
Girella nigricans,opaleye,fish,total length,0.024045289,3.08
Gymnothorax mordax,California moray,fish,total length,3.00E-04,3.4274
Halichoeres semicinctus,rock wrasse,fish,total length,0.006504479,3.16
Hemilepidotus hemilepidotus,NA,fish,total length,2.82E-05,2.896
Hermosilla azurea,zebra perch,fish,total length,1.37E-05,3.1025
Heterodontus francisci,horn shark,fish,total length,0.008896978,2.995
Heterostichus rostratus,giant kelpfish,fish,total length,0.0031,3.243
Hexagrammos decagrammus,kelp greenling,fish,total length,2.60E-05,2.8928
Hexagrammos lagocephalus,rock greenling,fish,total length,2.60E-05,2.8928
Hyperprosopon anale,NA,fish,total length,1.86E-06,3.717
Hyperprosopon argenteum,walleye surfperch,fish,total length,0.016962896,3.2295
Hyperprosopon ellipticum,silver surfperch,fish,total length,0.007925113,3.227
Hypsypops rubicundus,garibaldi,fish,total length,0.039549261,3.11
Jordania zonope,NA,fish,total length,0.006426435,3.022
Leiocottus hirundo,lavender sculpin,fish,total length,0.028436951,2.9
Lepidogobius lepidus,NA,fish,total length,10.43649166,3.1
Lethops connectens,"kelp goby, halfblind goby",fish,total length,0.0115,2.984
Liparis sp.,NA,fish,total length,0.007,3.195
Liparis mucosus,slimy snailfish,fish,total length,0.00126,3.59
Medialuna californiensis,halfmoon,fish,total length,0.008533383,3.454
Micrometrus minimus,NA,fish,total length,0.01,3.207
Mola mola,ocean sunfish,fish,total length,0.0454,3.0496
Mugil cephalus,mullet,fish,total length,0.020758497,2.8
Myliobatis californica,bat ray,fish,total length,1.30E-05,3.0928
Neoclinus blanchardi,sarcastic fringehead,fish,total length,0.009,3.003
Neoclinus stephensae,yellowfin fringehead,fish,total length,0.0095,2.824
Neoclinus uninotatus,onespot fringehead,fish,total length,0.0044,3.216
Ophiodon elongatus,lingcod,fish,total length,1.13E-05,2.99
Orthonopias triacis,snubnose sculpin,fish,total length,0.015796077,2.958
Oxyjulis californica,senorita,fish,total length,0.006504479,3.16
Oxylebius pictus,painted greenling,fish,total length,0.004406273,3.384
Paralabrax clathratus,kelp bass,fish,total length,0.005064877,3.27
Paralabrax maculatofasciatus,spotted sandbass,fish,total length,0.027143969,3.0187
Paralabrax nebulifer,barred sandbass,fish,total length,0.008873807,3.1128
Paralichthys californicus,California halibut,fish,total length,0.009160258,3.033
Phanerodon atripes,sharpnose surfperch,fish,total length,0.024324924,2.996
Phanerodon furcatus,white surfperch,fish,total length,0.024324924,2.996
Platyrhinoides triseriata,thornback,fish,total length,0.006645047,2.9774
Pleuronichthys coenosus,C-O turbot,fish,total length,0.024489584,3.044
Porichthys notatus,plainfin midshipman,fish,total length,0.0207,2.916
Prionace glauca,blue shark,fish,total length,2.70E-06,3.1305
Rhacochilus toxotes,rubberlip surfperch,fish,total length,0.015758712,3.01
Rhacochilus vacca,pile perch,fish,total length,0.015758712,3.01
Rhamphocottus richardsoni,NA,fish,total length,0.015796077,2.958
Coryphopterus nicholsi,blackeye goby,fish,total length,0.0115,2.984
Sarda chiliensis,eastern pacific bonito,fish,total length,7.63E-06,3.0892
Sardinops sagax,pacific sardine,fish,total length,0.001297179,3.113
Sardinops sagax,pacific sardine,fish,total length,0.01246083,3.02
Scomber japonicus,"pacific mackerel, greenback mackerel",fish,total length,0.003380887,3.39358
Scorpaena guttata,California scorpionfish,fish,total length,0.0201,3.0074
Scorpaenichthys marmoratus,cabezon,fish,total length,1.61E-05,3.055
Sebastes serranoides,olive rockfish,fish,total length,0.008630369,3.136
Sebastes atrovirens,kelp rockfish,fish,total length,0.009348021,3.172
Sebastes auriculatus,brown rockfish,fish,total length,0.044,2.74
Sebastes carnatus,gopher rockfish,fish,total length,0.015617415,3.08
Sebastes caurinus,copper rockfish,fish,total length,0.012113687,3.13
Sebastes chrysomelas,black and yellow rockfish,fish,total length,0.014389747,3.11
Sebastes dalli,NA,fish,total length,0.00945,3.21542
Sebastes diploproa,splitnose rockfish,fish,total length,0.0195,2.927
Sebastes entomelas,widow rockfish,fish,total length,0.01642,2.94256
Sebastes hopkinsi,squarespot rockfish,fish,total length,0.1464,2.98355
Sebastes maliger,NA,fish,total length,0.1,2.5
Sebastes melanops,black rockfish,fish,total length,0.008998625,3.19
Sebastes miniatus,vermilion rockfish,fish,total length,0.015986652,3.04
Sebastes mystinus,blue rockfish,fish,total length,0.015773026,2.9884
Sebastes nebulosus,china rockfish,fish,total length,0.011790642,3.18
Sebastes paucispinis,bocaccio,fish,total length,5.83E-05,3.0941
Sebastes pinniger,canary rockfish,fish,total length,0.009718258,3.15
Sebastes rastrelliger,grass rockfish,fish,total length,0.045,2.77
Sebastes rubrivinctus,NA,fish,total length,0.020526545,2.9431
Sebastes saxicola,olive-backed rockfish,fish,total length,0.02479,2.80487
Sebastes semicinctus,halfbanded rockfish,fish,total length,0.0127,3.016
Sebastes serriceps,treefish,fish,total length,0.014,3.081
Semicossyphus pulcher,California sheephead,fish,total length,0.023791511,2.9066
Seriola lalandi,yellowtail,fish,total length,0.023888215,2.85
Sphyraena argentea,california barracuda,fish,total length,4.12E-06,2.983
Squalus acanthias,NA,fish,total length,1.10E-06,2.94
Squalus acanthias,NA,fish,total length,3.08E-04,3.57
Squatina californica,pacific angel shark,fish,total length,0.008164903,3.0193
Torpedo californica,pacific electric ray,fish,total length,0.041677153,2.7748
Trachurus symmetricus,jack mackerel,fish,total length,0.009326056,3.1246
Triakis semifasciata,leopard shark,fish,total length,2.09E-05,2.88
Zalembius rosaceus,NA,fish,total length,0.01532,2.927962
