site_number,island_code,island_name,site_code,site_name,survey_year,date,scientific_name,common_name,total_count,mean_density_sqm,total_area_surveyed_sqm,mean_depth,survey_type,reserve_status,reference,reserve_year,latitude,longitude
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Bare Substrate,Bare Substrate,81,8.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Bryozoa,bryozoans (miscellaneous),93.9,9.39,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Chlorophyta,green algae,1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Cobble,Cobble,49,4.9,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Corynactis californicus,club-tipped anemone,5,0.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Cystoseira,bladder chain kelp,10,1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Desmarestia,acid weed,5,0.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Diaperoecia californica,Southern staghorn bryozoan,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Diopatra ornata,ornate tube worm,136.9,13.69,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,encrusting coralline algae,encrusting coralline algae,445,44.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Gelidium,agar weed,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Gigartina,sea tongue,11,1.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Laminaria farlowii,"oar weed, all",1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Misc Inverts,Misc Inverts,148.9,14.89,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Phaeophyta,brown algae (miscellaneous),2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Phragmatopoma californica,colonial sand-tube worm,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Plantae,miscellaneous plants (ie: diatoms),334,33.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Porifera,sponges,22,2.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Rhodophyta,red algae (miscellaneous),68,6.8,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Rock,Rock,840,84,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Sand,Sand,111,11.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Serpulorbis squamigerus,scaled wormsnail,4,0.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1985,1985-06-26,Tunicata,tunicates,3,0.3,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,articulated coralline algae,articulated coralline algae,54,5.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Astrangia lajollaensis,La Jolla cup coral,3,0.3,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Balanophyllia elegans,orange cup coral,51.900000000000006,5.19,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Bare Substrate,Bare Substrate,11,1.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Bryozoa,bryozoans (miscellaneous),55,5.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Chlorophyta,green algae,2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Cobble,Cobble,27,2.7,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Corynactis californicus,club-tipped anemone,4,0.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Cystoseira,bladder chain kelp,45.9,4.59,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Desmarestia,acid weed,537,53.7,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Diaperoecia californica,Southern staghorn bryozoan,2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Diopatra ornata,ornate tube worm,98.9,9.89,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,encrusting coralline algae,encrusting coralline algae,537.9,53.79,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Gelidium,agar weed,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Gigartina,sea tongue,5,0.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Laminaria farlowii,"oar weed, all",3,0.3,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Misc Inverts,Misc Inverts,58,5.8,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Phaeophyta,brown algae (miscellaneous),2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Phragmatopoma californica,colonial sand-tube worm,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Plantae,miscellaneous plants (ie: diatoms),0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Porifera,sponges,6.8999999999999995,0.69,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Rhodophyta,red algae (miscellaneous),392.9,39.29,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Rock,Rock,881.9,88.19,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Sand,Sand,91,9.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Serpulorbis squamigerus,scaled wormsnail,2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1986,1986-07-09,Tunicata,tunicates,22,2.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,articulated coralline algae,articulated coralline algae,34,3.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Astrangia lajollaensis,La Jolla cup coral,12.9,1.29,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Balanophyllia elegans,orange cup coral,34,3.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Bare Substrate,Bare Substrate,206,20.6,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Bryozoa,bryozoans (miscellaneous),138.9,13.89,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Chlorophyta,green algae,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Cobble,Cobble,48,4.8,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Corynactis californicus,club-tipped anemone,8.9,0.89,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Cystoseira,bladder chain kelp,15,1.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Desmarestia,acid weed,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Diaperoecia californica,Southern staghorn bryozoan,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Diopatra ornata,ornate tube worm,120,12,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,encrusting coralline algae,encrusting coralline algae,287,28.7,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Gelidium,agar weed,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Gigartina,sea tongue,1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Laminaria farlowii,"oar weed, all",0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Misc Inverts,Misc Inverts,83.9,8.39,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Phaeophyta,brown algae (miscellaneous),6,0.6,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Phragmatopoma californica,colonial sand-tube worm,4,0.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Plantae,miscellaneous plants (ie: diatoms),1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Porifera,sponges,15,1.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Rhodophyta,red algae (miscellaneous),55.9,5.59,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Rock,Rock,706.9,70.69,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Sand,Sand,245,24.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Serpulorbis squamigerus,scaled wormsnail,1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1987,1987-08-11,Tunicata,tunicates,17,1.7,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,articulated coralline algae,articulated coralline algae,68,6.8,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Astrangia lajollaensis,La Jolla cup coral,6,0.6,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Balanophyllia elegans,orange cup coral,45,4.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Bare Substrate,Bare Substrate,146.9,14.69,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Bryozoa,bryozoans (miscellaneous),101.89999999999999,10.19,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Chlorophyta,green algae,2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Cobble,Cobble,40.9,4.09,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Corynactis californicus,club-tipped anemone,1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Cystoseira,bladder chain kelp,6,0.6,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Desmarestia,acid weed,730,73,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Diaperoecia californica,Southern staghorn bryozoan,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Diopatra ornata,ornate tube worm,151.9,15.19,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,encrusting coralline algae,encrusting coralline algae,273.9,27.39,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Gelidium,agar weed,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Gigartina,sea tongue,0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Laminaria farlowii,"oar weed, all",0,0,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Misc Inverts,Misc Inverts,115,11.5,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Phaeophyta,brown algae (miscellaneous),2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Phragmatopoma californica,colonial sand-tube worm,2,0.2,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Plantae,miscellaneous plants (ie: diatoms),1,0.1,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Porifera,sponges,8.9,0.89,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
1,SM,San Miguel Island,WL,Wyckoff Ledge,1988,1988-07-27,Rhodophyta,red algae (miscellaneous),374,37.4,10,43.27,rpc,Outside,FALSE,Outside,34.02236667,-120.3874667
