"SiteNumber","SiteCode","IslandCode","Species","ScientificName","CommonName","SurveyYear","MeanSize","MinSize","MaxSize","TotalCount"
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2007,65.40,23.00,124.00,62.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2008,60.90,22.00,109.00,61.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2009,75.50,10.00,136.00,59.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2010,70.44,21.00,130.00,63.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2011,78.23,28.00,152.00,60.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2012,85.08,36.00,132.00,61.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2013,63.22,13.00,111.00,44.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2014,49.05,9.00,111.00,68.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2015,58.36,19.00,128.00,63.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2016,52.81,14.00,94.00,64.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2017,55.32,14.00,132.00,74.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2018,56.35,17.00,111.00,56.00
1,"WL","SM",5002.00,"Tethya aurantia","orange puffball sponge",2019,58.00,30.00,115.00,41.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1982,,,,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1983,,,,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1984,,,,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1985,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1986,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1987,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1988,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1989,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1990,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1991,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1992,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1993,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1994,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1995,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1996,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1997,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1998,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",1999,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2000,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2001,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2002,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2003,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2004,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2005,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2006,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2007,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2008,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2009,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2010,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2011,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2012,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2013,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2014,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2015,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2016,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2017,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2018,0.00,0.00,0.00,0.00
1,"WL","SM",6001.00,"Stylaster californicus","California hydrocoral",2019,0.00,0.00,0.00,0.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1982,,,,0.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1983,,,,0.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1984,,,,0.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1985,157.53,75.00,210.00,13.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1986,153.14,65.00,212.00,14.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1987,156.41,78.00,188.00,12.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1988,156.10,60.00,201.00,30.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1989,171.36,132.00,215.00,22.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1990,155.77,80.00,210.00,18.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1991,157.94,47.00,225.00,56.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1992,153.23,42.00,216.00,21.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1993,151.94,46.00,210.00,58.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1994,151.10,54.00,194.00,48.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1995,153.90,69.00,210.00,22.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1996,151.50,61.00,194.00,14.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1997,156.42,89.00,202.00,45.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1998,131.81,57.00,195.00,48.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",1999,138.60,69.00,188.00,50.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2000,159.26,95.00,204.00,34.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2001,161.14,43.00,216.00,64.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2002,173.04,92.00,227.00,50.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2003,163.27,42.00,212.00,72.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2004,165.08,45.00,209.00,71.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2005,171.12,57.00,220.00,82.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2006,176.21,73.00,243.00,115.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2007,171.45,65.00,224.00,113.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2008,173.69,68.00,225.00,137.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2009,181.95,102.00,253.00,143.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2010,189.00,114.00,252.00,125.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2011,189.13,20.00,244.00,166.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2012,181.95,103.00,243.00,173.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2013,190.85,110.00,235.00,174.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2014,190.82,97.00,248.00,201.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2015,191.47,100.00,250.00,179.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2016,192.31,88.00,255.00,173.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2017,191.37,65.00,257.00,160.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2018,188.44,55.00,252.00,172.00
1,"WL","SM",9002.00,"Haliotis rufescens","red abalone",2019,193.70,82.00,239.00,41.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1982,,,,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1983,,,,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1984,,,,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1985,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1986,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1987,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1988,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1989,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1990,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1991,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1992,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1993,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1994,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1995,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1996,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1997,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1998,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",1999,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2000,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2001,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2002,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2003,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2004,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2005,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2006,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2007,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2008,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2009,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2010,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2011,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2012,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2013,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2014,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2015,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2016,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2017,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2018,0.00,0.00,0.00,0.00
1,"WL","SM",9003.00,"Haliotis corrugata","pink abalone",2019,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1982,,,,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1983,,,,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1984,,,,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1985,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1986,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1987,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1988,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1989,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1990,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1991,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1992,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1993,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1994,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1995,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1996,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1997,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1998,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",1999,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2000,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2001,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2002,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2003,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2004,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2005,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2006,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2007,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2008,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2009,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2010,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2011,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2012,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2013,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2014,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2015,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2016,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2017,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2018,0.00,0.00,0.00,0.00
1,"WL","SM",9004.00,"Haliotis fulgens","green abalone",2019,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1982,,,,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1983,,,,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1984,,,,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1985,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1986,55.00,54.00,56.00,2.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1987,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1988,52.50,41.00,66.00,6.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1989,48.00,44.00,50.00,6.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1990,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1991,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1992,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1993,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1994,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1995,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1996,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1997,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1998,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",1999,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2000,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2001,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2002,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2003,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2004,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2005,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2006,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2007,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2008,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2009,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2010,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2011,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2012,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2013,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2014,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2015,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2016,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2017,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2018,0.00,0.00,0.00,0.00
1,"WL","SM",9005.00,"Cypraea spadicea","chestnut cowrie",2019,0.00,0.00,0.00,0.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1982,,,,0.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1983,,,,0.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1984,,,,0.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1985,102.61,80.00,125.00,36.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1986,91.65,47.00,120.00,40.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1987,93.05,20.00,118.00,39.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1988,74.26,55.00,108.00,30.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1989,79.91,56.00,119.00,35.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1990,95.52,66.00,120.00,38.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1991,90.00,46.00,135.00,51.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1992,87.52,61.00,119.00,97.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1993,89.51,59.00,107.00,35.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1994,76.86,40.00,103.00,60.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1995,83.78,53.00,112.00,69.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1996,90.72,68.00,112.00,55.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1997,87.75,47.00,114.00,69.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1998,87.48,46.00,121.00,60.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",1999,78.20,17.00,108.00,75.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2000,85.89,44.00,110.00,46.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2001,88.69,59.00,114.00,52.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2002,0.00,0.00,0.00,0.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2003,85.78,61.00,104.00,60.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2004,84.12,53.00,115.00,72.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2005,89.97,59.00,110.00,40.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2006,90.62,67.00,109.00,88.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2007,83.94,32.00,112.00,68.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2008,88.22,62.00,109.00,68.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2009,88.39,67.00,110.00,66.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2010,93.00,73.00,112.00,65.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2011,88.40,40.00,108.00,64.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2012,84.92,44.00,105.00,67.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2013,89.03,41.00,108.00,80.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2014,96.50,68.00,115.00,64.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2015,80.61,32.00,108.00,72.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2016,88.76,28.00,114.00,71.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2017,92.44,61.00,113.00,78.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2018,81.36,18.00,111.00,136.00
1,"WL","SM",9006.00,"Kelletia kelletii","Kellet's whelk",2019,78.15,43.00,113.00,63.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1982,,,,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1983,,,,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1984,,,,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1985,0.00,0.00,0.00,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1986,0.00,0.00,0.00,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1987,0.00,0.00,0.00,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1988,0.00,0.00,0.00,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1989,0.00,0.00,0.00,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1990,0.00,0.00,0.00,0.00
1,"WL","SM",9007.00,"Megastraea undosa","wavy turban snail",1991,0.00,0.00,0.00,0.00
