"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","QuadratsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1996,7/22/1996 0:00:00,81.00,0.40,0.47,0.07,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1997,7/7/1997 0:00:00,169.00,0.84,0.85,0.13,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1998,7/6/1998 0:00:00,21.00,0.10,0.24,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1999,6/28/1999 0:00:00,48.00,0.23,0.33,0.05,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2000,6/26/2000 0:00:00,18.00,0.09,0.13,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2001,7/16/2001 0:00:00,23.00,0.11,0.20,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2002,7/22/2002 0:00:00,105.00,0.52,0.48,0.07,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2003,9/8/2003 0:00:00,39.00,0.19,0.27,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2005,8/8/2005 0:00:00,28.00,0.14,0.24,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2006,9/11/2006 0:00:00,139.00,0.69,0.46,0.07,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2007,7/9/2007 0:00:00,4.00,0.01,0.07,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2008,9/8/2008 0:00:00,47.00,0.23,0.30,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2009,8/17/2009 0:00:00,18.00,0.09,0.14,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2010,7/26/2010 0:00:00,97.00,0.48,0.46,0.07,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2011,9/15/2011 0:00:00,5.00,0.02,0.06,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2012,7/25/2012 0:00:00,25.00,0.12,0.20,0.03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2013,10/19/2013 0:00:00,16.00,0.07,0.16,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2014,10/1/2014 0:00:00,10.00,0.05,0.10,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2015,9/15/2015 0:00:00,7.00,0.03,0.10,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2016,8/10/2016 0:00:00,24.00,0.11,0.18,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2017,7/27/2017 0:00:00,87.00,0.43,0.46,0.07,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2018,9/26/2018 0:00:00,7.00,0.03,0.08,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2013,10/19/2013 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2018,9/26/2018 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.00,"Sargassum horneri","Sargassum horneri, adult (>50cm or recepticles present)",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2013,10/19/2013 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2018,9/26/2018 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2016.50,"Sargassum horneri","Sargassum horneri, juvenile (<50cm and no recepticles)",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",1996,7/22/1996 0:00:00,3.00,0.01,0.05,8.43527354300022e-03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",1997,7/7/1997 0:00:00,8.00,0.03,0.12,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",1998,7/6/1998 0:00:00,6.00,0.02,0.08,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",1999,6/28/1999 0:00:00,9.00,0.04,0.13,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2000,6/26/2000 0:00:00,9.00,0.04,0.11,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2001,7/16/2001 0:00:00,14.00,0.07,0.13,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2002,7/22/2002 0:00:00,12.00,0.05,0.12,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2003,9/8/2003 0:00:00,3.00,0.01,0.05,8.43527354300022e-03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2004,7/26/2004 0:00:00,6.00,0.02,0.07,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2005,8/8/2005 0:00:00,2.00,9.99999977648258e-03,0.04,6.97982450947165e-03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2006,9/11/2006 0:00:00,21.00,0.10,0.27,0.04,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2007,7/9/2007 0:00:00,20.00,0.10,0.18,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2008,9/8/2008 0:00:00,6.00,0.02,0.11,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2009,8/17/2009 0:00:00,10.00,0.05,0.10,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2010,7/26/2010 0:00:00,6.00,0.02,0.07,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2011,9/15/2011 0:00:00,11.00,0.05,0.17,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2012,7/25/2012 0:00:00,25.00,0.12,0.16,0.02,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2013,10/19/2013 0:00:00,9.00,0.04,0.11,0.01,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2016,8/10/2016 0:00:00,1.00,4.99999988824129e-03,0.03,4.99999988824129e-03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2018,9/26/2018 0:00:00,1.00,4.99999988824129e-03,0.03,4.99999988824129e-03,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11002.00,"Pisaster giganteus","giant-spined sea star",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2013,10/19/2013 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2018,9/26/2018 0:00:00,0.00,0.00,0.00,0.00,40,200.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",11011.00,"Pisaster ochraceus","ochre sea star",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1996,8/5/1996 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1997,7/7/1997 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1998,9/14/1998 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2000,6/26/2000 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2002,7/8/2002 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2003,9/8/2003 0:00:00,28.00,0.14,0.22,0.03,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2004,7/26/2004 0:00:00,91.00,0.45,0.46,0.07,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2005,6/13/2005 0:00:00,93.00,0.46,0.51,0.08,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2006,6/19/2006 0:00:00,96.00,0.47,0.61,0.09,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2007,7/9/2007 0:00:00,44.00,0.21,0.37,0.05,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2008,9/8/2008 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2009,8/17/2009 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2010,9/13/2010 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2011,9/14/2011 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2012,8/30/2012 0:00:00,4.00,0.01,0.06,9.60768945515156e-03,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2013,10/19/2013 0:00:00,2.00,9.99999977648258e-03,0.04,6.97982450947165e-03,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2014,8/12/2014 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2015,6/9/2015 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2016,8/9/2016 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2017,7/12/2017 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2018,9/25/2018 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.25,"Macrocystis pyrifera","giant kelp, adult (>1m and haptera above the primary dichotomy)",2019,10/8/2019 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1996,8/5/1996 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1997,7/7/1997 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1998,9/14/1998 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2000,6/26/2000 0:00:00,0.00,0.00,0.00,0.00,40,200.00
2,"SM","San Miguel Island","HR","Hare Rock",2002.75,"Macrocystis pyrifera","giant kelp, subadult (>1m and no haptera above the primary dichotomy)",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,40,200.00
