"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","TotalCount","MeanSize","MinSize","MaxSize"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2010,75,10,8,12
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2010,2,30,25,35
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2010,41,4,4,4
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2010,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2010,1,37,30,45
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2010,3,24,12,29
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2010,1,46,46,46
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2010,90,26,8,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2010,3,8,8,8
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2010,210,9,9,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2010,1,28,27,29
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2011,3,20,8,37
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2011,6,12,8,15
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2011,34,27,6,35
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2011,1,28,28,28
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2011,1,36,30,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2011,3,27,24,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2011,1,32,6,51
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2011,2,23,8,36
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2011,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2011,2,9,9,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2011,1,28,25,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2012,17,24,8,35
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2012,8,18,16,19
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2012,1,32,27,37
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2012,1,22,8,46
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2012,5,30,25,37
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2012,3,7,5,8
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2012,2,35,17,45
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2012,4,27,25,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2012,1,26,3,50
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2012,8,34,8,44
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2012,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2012,1,13,9,17
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2012,1,35,33,37
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2013,3,8,8,8
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2013,6,17,9,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2013,45,14,8,20
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2013,2,30,8,53
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2013,9,23,5,34
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2013,2,35,9,50
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2013,4,28,23,33
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2013,2,9,9,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2013,270,27,7,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2013,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2013,14,29,8,55
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2013,1,28,22,33
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2014,48,6,3,10
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2014,2,14,10,18
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2014,6,19,8,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2014,1,8,8,8
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2014,105,11,3,20
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2014,1,20,20,20
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2014,2,25,10,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2014,12,27,8,35
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2014,1,30,30,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2014,2,37,30,45
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2014,3,28,26,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes miniatus","vermillion rockfish, all",2014,1,32,5,60
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes mystinus","blue rockfish, all",2014,24,26,10,40
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes paucispinis","bocaccio, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serranoides","olive rockfish, all",2014,1,12,12,12
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes serriceps","treefish, all",2014,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Caulolatilus princeps","ocean whitefish, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Chromis punctipinnis","blacksmith, all",2015,37,7,3,10
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca jacksoni","black surfperch, all",2015,4,8,8,9
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Embiotoca lateralis","striped surfperch, all",2015,5,16,7,30
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Girella nigricans","opaleye, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Halichoeres semicinctus","rock wrasse, juvenile",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Heterostichus rostratus","giant kelpfish, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Hypsypops rubicundus","garibaldi, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Medialuna californiensis","halfmoon, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Ophiodon elongatus","lingcod, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Oxyjulis californica","señorita, all",2015,90,12,3,20
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Paralabrax clathratus","kelp bass, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus toxotes","rubberlip surfperch",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Rhacochilus vacca","pile perch, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaena guttata","California scorpionfish, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Scorpaenichthys marmoratus","cabezon, all",2015,0,,,
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens","kelp rockfish, all",2015,81,20,6,36
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes atrovirens/carnatus/caurinus/chrysomelas","kelp/gopher/copper/black and yellow rockfish, juvenile",2015,2,7,7,7
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes carnatus","gopher rockfish, all",2015,1,33,33,33
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes caurinus","copper rockfish, all",2015,2,36,25,45
1,"SM","San Miguel Island","WL","Wyckoff Ledge",,"Sebastes chrysomelas","black and yellow rockfish, all",2015,2,27,7,34
