"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","MeanDensity_sqm","StandardDeviation","StandardError","QuadratsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1986,7/9/1986 0:00:00,0.20,0.69,0.13,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1987,8/11/1987 0:00:00,0.60,1.30,0.26,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1988,7/27/1988 0:00:00,0.20,0.69,0.13,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1989,8/16/1989 0:00:00,1.79,4.42,0.88,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1990,7/24/1990 0:00:00,0.50,1.25,0.25,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1991,7/23/1991 0:00:00,0.40,1.18,0.23,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1992,9/16/1992 0:00:00,1.00,2.04,0.40,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1993,7/14/1993 0:00:00,0.10,0.50,0.10,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1994,7/12/1994 0:00:00,0.30,1.50,0.30,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1995,8/21/1995 0:00:00,1.50,4.73,0.94,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1996,7/22/1996 0:00:00,1.50,2.63,0.68,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1997,7/7/1997 0:00:00,2.50,5.97,1.54,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1998,7/6/1998 0:00:00,0.33,0.87,0.22,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",1999,6/28/1999 0:00:00,4.00,6.46,1.66,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2000,6/26/2000 0:00:00,4.33,11.55,2.98,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2001,7/16/2001 0:00:00,2.66,5.54,1.43,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2002,7/22/2002 0:00:00,3.33,5.14,1.32,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2003,9/8/2003 0:00:00,5.33,5.96,1.54,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2004,7/26/2004 0:00:00,1.00,1.84,0.47,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2005,8/8/2005 0:00:00,12.33,10.06,2.59,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2006,9/11/2006 0:00:00,12.16,16.84,4.34,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2007,7/9/2007 0:00:00,7.50,7.73,1.99,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2008,9/8/2008 0:00:00,4.00,6.46,1.66,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2009,8/17/2009 0:00:00,11.33,13.02,3.36,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2010,7/26/2010 0:00:00,11.33,11.37,2.93,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2011,9/15/2011 0:00:00,6.00,12.45,3.21,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2012,7/25/2012 0:00:00,12.33,10.70,2.76,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2013,10/19/2013 0:00:00,2.33,3.71,0.95,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2014,10/1/2014 0:00:00,3.16,4.37,1.13,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2015,9/15/2015 0:00:00,3.16,2.74,0.70,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2016,8/10/2016 0:00:00,2.33,2.58,0.66,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2017,7/27/2017 0:00:00,5.00,8.01,2.07,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2018,9/26/2018 0:00:00,1.16,2.28,0.59,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2001.00,"Phaeophyta","brown algae (miscellaneous)",2019,9/24/2019 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1984,7/12/1984 0:00:00,1.60,4.40,1.39,10,5.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1985,6/26/1985 0:00:00,0.50,1.61,0.32,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1986,7/9/1986 0:00:00,53.70,37.19,7.43,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1987,8/11/1987 0:00:00,0.00,0.00,0.00,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1988,7/27/1988 0:00:00,73.00,22.58,4.51,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1989,8/16/1989 0:00:00,2.29,3.94,0.78,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1990,7/24/1990 0:00:00,8.80,13.13,2.62,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1991,7/23/1991 0:00:00,1.10,2.50,0.50,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1992,9/16/1992 0:00:00,1.50,3.88,0.77,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1993,7/14/1993 0:00:00,14.39,17.59,3.51,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1994,7/12/1994 0:00:00,1.20,4.51,0.90,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1995,8/21/1995 0:00:00,31.70,33.97,6.79,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1996,7/22/1996 0:00:00,33.83,30.08,7.76,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1997,7/7/1997 0:00:00,12.83,23.04,5.95,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1998,7/6/1998 0:00:00,18.16,23.66,6.11,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",1999,6/28/1999 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2000,6/26/2000 0:00:00,55.33,35.86,9.26,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2001,7/16/2001 0:00:00,29.66,33.28,8.59,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2002,7/22/2002 0:00:00,8.33,11.78,3.04,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2003,9/8/2003 0:00:00,1.00,3.87,1.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2004,7/26/2004 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2005,8/8/2005 0:00:00,17.50,14.75,3.81,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2006,9/11/2006 0:00:00,14.16,16.22,4.18,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2007,7/9/2007 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2008,9/8/2008 0:00:00,12.33,15.07,3.89,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2009,8/17/2009 0:00:00,9.33,11.27,2.91,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2010,7/26/2010 0:00:00,0.66,2.58,0.66,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2011,9/15/2011 0:00:00,3.00,6.95,1.79,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2012,7/25/2012 0:00:00,7.50,14.88,3.84,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2013,10/19/2013 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2014,10/1/2014 0:00:00,1.50,2.63,0.68,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2015,9/15/2015 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2016,8/10/2016 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2017,7/27/2017 0:00:00,6.66,11.08,2.86,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2018,9/26/2018 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2003.00,"Desmarestia","acid weed",2019,9/24/2019 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1982,8/18/1982 0:00:00,0.40,2.00,0.40,25,5.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1983,7/26/1983 0:00:00,1.37,4.41,0.81,29,2.90
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1984,7/12/1984 0:00:00,2.20,4.46,1.41,10,5.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1985,6/26/1985 0:00:00,1.00,1.90,0.38,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1986,7/9/1986 0:00:00,4.59,7.34,1.46,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1987,8/11/1987 0:00:00,1.50,3.22,0.64,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1988,7/27/1988 0:00:00,0.60,2.07,0.41,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1989,8/16/1989 0:00:00,1.20,2.40,0.48,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1990,7/24/1990 0:00:00,2.09,5.23,1.04,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1991,7/23/1991 0:00:00,1.60,3.52,0.70,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1992,9/16/1992 0:00:00,4.69,5.36,1.07,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1993,7/14/1993 0:00:00,3.40,6.03,1.20,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1994,7/12/1994 0:00:00,7.90,9.11,1.82,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1995,8/21/1995 0:00:00,11.00,14.68,2.93,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1996,7/22/1996 0:00:00,11.33,10.55,2.72,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1997,7/7/1997 0:00:00,12.83,11.29,2.91,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1998,7/6/1998 0:00:00,8.66,13.68,3.53,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",1999,6/28/1999 0:00:00,1.50,2.07,0.53,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2000,6/26/2000 0:00:00,6.16,11.52,2.97,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2001,7/16/2001 0:00:00,1.00,2.80,0.72,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2002,7/22/2002 0:00:00,1.83,5.21,1.34,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2003,9/8/2003 0:00:00,2.00,4.14,1.06,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2004,7/26/2004 0:00:00,0.33,0.87,0.22,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2005,8/8/2005 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2006,9/11/2006 0:00:00,1.33,4.51,1.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2007,7/9/2007 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2008,9/8/2008 0:00:00,0.83,1.54,0.39,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2009,8/17/2009 0:00:00,1.33,3.25,0.84,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2010,7/26/2010 0:00:00,2.00,3.91,1.01,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2011,9/15/2011 0:00:00,0.33,1.29,0.33,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2012,7/25/2012 0:00:00,1.33,2.96,0.76,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2013,10/19/2013 0:00:00,0.16,0.64,0.16,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2014,10/1/2014 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2015,9/15/2015 0:00:00,2.33,4.37,1.13,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2016,8/10/2016 0:00:00,0.33,0.87,0.22,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2017,7/27/2017 0:00:00,2.00,4.74,1.22,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2018,9/26/2018 0:00:00,1.50,1.58,0.40,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2007.00,"Cystoseira","bladder chain kelp",2019,9/24/2019 0:00:00,0.00,0.00,0.00,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1985,6/26/1985 0:00:00,7.40,12.30,2.46,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1986,7/9/1986 0:00:00,40.20,28.49,5.69,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1987,8/11/1987 0:00:00,13.80,17.64,3.52,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1988,7/27/1988 0:00:00,21.70,20.31,4.06,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1989,8/16/1989 0:00:00,20.20,22.03,4.40,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1990,7/24/1990 0:00:00,17.79,19.52,3.90,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1991,7/23/1991 0:00:00,22.60,14.24,2.84,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1992,9/16/1992 0:00:00,19.70,15.91,3.18,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2008.00,"Macrocystis, Pterygophora, and Eisenia combined","giant kelp, California sea palm, Southern sea palm",1993,7/14/1993 0:00:00,32.00,26.96,5.39,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010.00,"Macrocystis pyrifera","giant kelp, all",1993,7/14/1993 0:00:00,31.70,26.79,5.35,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010.00,"Macrocystis pyrifera","giant kelp, all",1994,7/12/1994 0:00:00,23.10,19.95,3.99,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010.00,"Macrocystis pyrifera","giant kelp, all",1995,8/21/1995 0:00:00,14.30,18.90,3.78,25,10.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010.00,"Macrocystis pyrifera","giant kelp, all",1996,7/22/1996 0:00:00,52.00,28.46,7.34,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010.00,"Macrocystis pyrifera","giant kelp, all",1997,7/7/1997 0:00:00,36.16,23.18,5.98,15,6.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2010.00,"Macrocystis pyrifera","giant kelp, all",1998,7/6/1998 0:00:00,21.50,30.13,7.77,15,6.00
