"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","DimensionsMeasured","MeanDimensions","MinDimensions","MaxDimensions","TotalCount"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",7.78,1,45,128
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",7.66,1,29,103
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",15.11,1,49,150
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",8.71,1,38,124
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",13.75,1,32,101
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",9.69,1,37,102
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",14.56,1,53,113
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,"Stipe_Count",9.11,1,41,100
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",9.82,1,39,100
1,"SM","San Miguel Island","WL","Wyckoff Ledge",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2014,"Stipe_Count",12.03,1,65,116
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",8.99,1,62,115
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",12.45,1,50,110
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,"Stipe_Count",5.53,1,23,104
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",6.30,1,54,93
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,"Stipe_Count",8.52,1,28,101
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",9.40,2,39,152
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",7.06,1,36,111
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",3.50,1,18,150
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",8.38,1,38,150
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",3.92,2,9,13
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",2.85,1,7,7
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,"Stipe_Count",5.47,1,23,46
2,"SM","San Miguel Island","HR","Hare Rock",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",8.54,1,26,61
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",9.23,1,32,128
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",12.23,1,28,95
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1988,"Stipe_Count",4.91,2,15,100
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1989,"Stipe_Count",8.28,2,18,50
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1990,"Stipe_Count",8.42,1,24,102
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1991,"Stipe_Count",6.51,1,22,107
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,"Stipe_Count",9.37,1,37,101
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",9.06,1,23,116
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,"Stipe_Count",6.88,1,36,263
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1995,"Stipe_Count",10.39,1,25,143
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1996,"Stipe_Count",3.87,1,15,134
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1997,"Stipe_Count",8.42,2,24,100
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1998,"Stipe_Count",4.84,1,23,150
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1999,"Stipe_Count",7.40,1,19,126
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2000,"Stipe_Count",6.36,1,17,57
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2001,"Stipe_Count",2.66,2,8,98
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2002,"Stipe_Count",7.52,1,31,100
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,"Stipe_Count",8.38,1,20,108
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",10.73,1,36,100
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",8.87,1,27,164
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",9.76,1,28,141
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",5.70,1,24,152
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",7.38,1,22,80
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",6.85,1,20,150
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",9.74,1,28,100
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",7.62,1,25,112
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,"Stipe_Count",7.84,1,24,107
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",11.16,1,36,114
3,"SR","Santa Rosa Island","JLNO","Johnson's Lee North",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2014,"Stipe_Count",7.76,1,42,159
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",10.99,1,43,109
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",17.25,2,48,100
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1988,"Stipe_Count",5.77,1,32,100
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1989,"Stipe_Count",7.04,1,27,50
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1990,"Stipe_Count",14.38,2,35,106
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1991,"Stipe_Count",14.52,1,57,90
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,"Stipe_Count",10.38,1,24,81
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",14.29,1,32,145
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,"Stipe_Count",10.00,1,44,128
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1995,"Stipe_Count",7.21,1,30,104
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1996,"Stipe_Count",5.12,1,29,140
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1997,"Stipe_Count",10.79,1,32,58
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1998,"Stipe_Count",7.34,1,35,107
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1999,"Stipe_Count",11.16,1,33,100
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2000,"Stipe_Count",9.86,1,48,113
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2002,"Stipe_Count",7.75,1,28,105
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,"Stipe_Count",7.75,1,17,109
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",14.51,1,50,89
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",8.40,1,30,116
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",4.39,1,12,93
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",9.21,1,43,151
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",12.21,1,43,97
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",3.05,1,11,100
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",12.36,1,37,101
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",8.53,1,32,91
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,"Stipe_Count",8.71,1,33,110
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",12.16,1,31,101
4,"SR","Santa Rosa Island","JLSO","Johnson's Lee South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2014,"Stipe_Count",11.92,1,34,153
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",18.40,1,67,117
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",14.58,1,45,114
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1986,"Stipe_Count",25.83,16,46,6
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1988,"Stipe_Count",2.95,1,15,100
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1989,"Stipe_Count",9.53,1,36,105
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1990,"Stipe_Count",20.33,3,53,98
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1991,"Stipe_Count",11.41,1,47,100
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,"Stipe_Count",21.62,1,53,81
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",18.62,1,65,135
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,"Stipe_Count",18.98,1,64,69
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1996,"Stipe_Count",3.47,1,33,67
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1997,"Stipe_Count",7.46,1,32,73
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1998,"Stipe_Count",6.00,1,19,10
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,"Stipe_Count",3.35,1,12,153
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",17.44,2,38,135
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",23.71,3,77,92
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",5.80,2,21,21
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",12.83,1,52,134
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",14.61,1,36,44
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",7.17,1,35,17
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",2.00,2,2,3
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",4.00,4,4,1
5,"SR","Santa Rosa Island","RR","Rodes Reef",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",3.83,1,9,18
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",13.80,1,67,108
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",19.14,1,85,99
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1990,"Stipe_Count",7.12,1,34,99
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1991,"Stipe_Count",10.23,2,35,84
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1992,"Stipe_Count",18.50,3,49,102
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",16.91,2,44,107
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,"Stipe_Count",12.77,1,38,124
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1995,"Stipe_Count",14.01,1,26,57
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1998,"Stipe_Count",3.00,3,3,3
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2001,"Stipe_Count",5.25,2,14,4
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2002,"Stipe_Count",3.21,1,14,150
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2003,"Stipe_Count",12.30,1,35,124
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",13.31,1,46,110
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",13.36,1,31,133
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",14.28,1,29,75
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",9.02,1,24,150
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",9.14,1,34,104
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",12.43,1,35,109
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",9.61,1,48,105
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",12.19,1,36,100
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,"Stipe_Count",12.69,1,37,104
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",13.35,1,45,109
6,"SC","Santa Cruz Island","GI","Gull Island South",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2014,"Stipe_Count",5.64,1,28,106
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",9.92,1,41,85
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2004,"Stipe_Count",2.50,2,3,2
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2005,"Stipe_Count",3.33,2,5,3
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2006,"Stipe_Count",4.00,1,9,8
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",4.13,1,18,52
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",5.97,1,25,152
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",12.26,1,35,146
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",16.58,2,70,117
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2011,"Stipe_Count",8.02,1,37,100
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2012,"Stipe_Count",10.01,1,53,101
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2013,"Stipe_Count",14.21,1,55,109
7,"SC","Santa Cruz Island","FH","Fry's Harbor",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2014,"Stipe_Count",4.41,1,17,53
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",9.58,1,54,119
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",12.23,1,43,111
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",8.39,1,61,106
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1994,"Stipe_Count",8.49,1,34,152
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1995,"Stipe_Count",17.52,2,52,19
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2007,"Stipe_Count",7.00,3,11,2
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2008,"Stipe_Count",3.59,1,14,42
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2009,"Stipe_Count",5.90,1,16,100
8,"SC","Santa Cruz Island","PB","Pelican Bay",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",2010,"Stipe_Count",9.59,1,25,101
9,"SC","Santa Cruz Island","SA","Scorpion Anchorage",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1984,"Stipe_Count",10.63,2,47,109
9,"SC","Santa Cruz Island","SA","Scorpion Anchorage",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1985,"Stipe_Count",5.43,1,30,103
9,"SC","Santa Cruz Island","SA","Scorpion Anchorage",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1986,"Stipe_Count",5.70,1,38,100
9,"SC","Santa Cruz Island","SA","Scorpion Anchorage",2002,"Macrocystis pyrifera","giant kelp, adult (>1m)",1993,"Stipe_Count",3.45,2,6,11
