"SiteNumber","IslandCode","IslandName","SiteCode","SiteName","Species","ScientificName","CommonName","SurveyYear","SurveyDate","TotalCount","MeanDensity_sqm","StandardDeviation","StandardError","TransectsSampled","TotalAreaSurveyed_sqm"
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1991,7/23/1991 0:00:00,66.00,0.09,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1992,9/16/1992 0:00:00,71.00,0.09,0.05,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1993,7/14/1993 0:00:00,90.00,0.12,0.09,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1994,7/12/1994 0:00:00,78.00,0.10,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1995,8/21/1995 0:00:00,52.00,0.07,0.04,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1996,7/22/1996 0:00:00,92.00,0.12,0.08,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1997,7/7/1997 0:00:00,86.00,0.11,0.06,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1998,7/6/1998 0:00:00,113.00,0.15,0.09,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",1999,6/28/1999 0:00:00,87.00,0.12,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2000,6/26/2000 0:00:00,68.00,0.09,0.06,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2001,7/16/2001 0:00:00,76.00,0.10,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2002,7/22/2002 0:00:00,55.00,0.07,0.04,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2003,9/8/2003 0:00:00,119.00,0.16,0.10,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2004,7/26/2004 0:00:00,115.00,0.15,0.08,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2005,8/8/2005 0:00:00,90.00,0.12,0.09,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2006,9/11/2006 0:00:00,135.00,0.18,0.12,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2007,7/9/2007 0:00:00,157.00,0.21,0.17,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2008,9/8/2008 0:00:00,128.00,0.17,0.10,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2009,8/17/2009 0:00:00,134.00,0.18,0.12,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2010,7/26/2010 0:00:00,116.00,0.16,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2011,9/15/2011 0:00:00,148.00,0.20,0.10,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2012,7/25/2012 0:00:00,118.00,0.16,0.11,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2013,10/20/2013 0:00:00,162.00,0.22,0.10,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2014,10/1/2014 0:00:00,138.00,0.19,0.09,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2015,9/15/2015 0:00:00,88.00,0.12,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2016,8/10/2016 0:00:00,47.00,0.06,0.05,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2017,7/27/2017 0:00:00,34.00,0.04,0.03,8.90308246016502e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2018,9/26/2018 0:00:00,50.00,0.06,0.06,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",5002.00,"Tethya aurantia","orange puffball sponge",2019,9/24/2019 0:00:00,31.00,0.04,0.03,0.01,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1983,7/26/1983 0:00:00,0.00,0.00,0.00,0.00,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1984,7/11/1984 0:00:00,0.00,0.00,0.00,0.00,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1985,6/26/1985 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1986,7/8/1986 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1987,8/11/1987 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1988,7/27/1988 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1989,8/16/1989 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1990,7/24/1990 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1991,7/23/1991 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1992,9/16/1992 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1993,7/14/1993 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1994,7/12/1994 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1995,8/21/1995 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1996,7/22/1996 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1997,7/7/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",1999,6/28/1999 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2000,6/26/2000 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2001,7/16/2001 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2002,7/22/2002 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2003,9/8/2003 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2004,7/26/2004 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2005,8/8/2005 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2006,9/11/2006 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2007,7/9/2007 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2008,9/8/2008 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2009,8/17/2009 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2010,7/26/2010 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2011,9/15/2011 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2012,7/25/2012 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2013,10/20/2013 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2014,10/1/2014 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2015,9/15/2015 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2016,8/10/2016 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2017,7/27/2017 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2018,9/26/2018 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6001.00,"Stylaster californicus","California hydrocoral",2019,9/24/2019 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1983,7/26/1983 0:00:00,82.00,0.20,0.21,0.06,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1984,7/11/1984 0:00:00,67.00,0.16,0.12,0.03,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1985,6/26/1985 0:00:00,188.00,0.26,0.15,0.04,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1986,7/8/1986 0:00:00,136.00,0.18,0.08,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1987,8/11/1987 0:00:00,140.00,0.19,0.12,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1988,7/27/1988 0:00:00,156.00,0.21,0.07,0.02,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1989,8/16/1989 0:00:00,186.00,0.25,0.19,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1990,7/24/1990 0:00:00,145.00,0.20,0.19,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1991,7/23/1991 0:00:00,172.00,0.23,0.18,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1992,9/16/1992 0:00:00,186.00,0.25,0.12,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1993,7/14/1993 0:00:00,119.00,0.16,0.12,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1994,7/12/1994 0:00:00,193.00,0.26,0.24,0.07,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1995,8/21/1995 0:00:00,129.00,0.17,0.15,0.04,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1996,7/22/1996 0:00:00,245.00,0.34,0.17,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1997,7/7/1997 0:00:00,120.00,0.16,0.18,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1998,7/6/1998 0:00:00,241.00,0.33,0.28,0.08,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",1999,6/28/1999 0:00:00,185.00,0.25,0.18,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2000,6/26/2000 0:00:00,181.00,0.25,0.24,0.07,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2001,7/16/2001 0:00:00,193.00,0.26,0.21,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2002,7/22/2002 0:00:00,179.00,0.24,0.20,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2003,9/8/2003 0:00:00,220.00,0.30,0.21,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2004,7/26/2004 0:00:00,268.00,0.37,0.28,0.08,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2005,8/8/2005 0:00:00,174.00,0.24,0.10,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2006,9/11/2006 0:00:00,229.00,0.31,0.20,0.05,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2007,7/9/2007 0:00:00,287.00,0.39,0.23,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2008,9/8/2008 0:00:00,236.00,0.32,0.29,0.08,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2009,8/17/2009 0:00:00,197.00,0.27,0.16,0.04,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2010,7/26/2010 0:00:00,179.00,0.24,0.15,0.04,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2011,9/15/2011 0:00:00,262.00,0.36,0.21,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2012,7/25/2012 0:00:00,255.00,0.35,0.21,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2013,10/20/2013 0:00:00,285.00,0.39,0.27,0.08,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2014,10/1/2014 0:00:00,235.00,0.32,0.21,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2015,9/15/2015 0:00:00,308.00,0.42,0.28,0.08,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2016,8/10/2016 0:00:00,206.00,0.28,0.24,0.06,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2017,7/27/2017 0:00:00,221.00,0.30,0.13,0.03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2018,9/26/2018 0:00:00,413.00,0.57,0.30,0.08,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6002.00,"Urticina lofotensis","white-spotted rose anemone",2019,9/24/2019 0:00:00,376.00,0.52,0.25,0.07,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1983,7/26/1983 0:00:00,0.00,0.00,0.00,0.00,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1984,7/11/1984 0:00:00,0.00,0.00,0.00,0.00,10,400.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1985,6/26/1985 0:00:00,2.00,2.77777784503996e-03,6.4874910749495e-03,1.87277735676616e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1986,7/8/1986 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1987,8/11/1987 0:00:00,3.00,4.16666688397527e-03,0.01,4.16666688397527e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1988,7/27/1988 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1989,8/16/1989 0:00:00,4.00,5.55555569007993e-03,8.20609927177429e-03,2.36889673396945e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1990,7/24/1990 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1991,7/23/1991 0:00:00,3.00,4.16666688397527e-03,0.01,2.99058575183153e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1992,9/16/1992 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1993,7/14/1993 0:00:00,5.00,6.94444449618459e-03,0.01,3.21660074405372e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1994,7/12/1994 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1995,8/21/1995 0:00:00,2.00,2.77777784503996e-03,6.4874910749495e-03,1.87277735676616e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1996,7/22/1996 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1997,7/7/1997 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1998,7/6/1998 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",1999,6/28/1999 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",2000,6/26/2000 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",2001,7/16/2001 0:00:00,1.00,1.38888892251998e-03,4.81125246733427e-03,1.38888892251998e-03,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",2002,7/22/2002 0:00:00,0.00,0.00,0.00,0.00,12,720.00
1,"SM","San Miguel Island","WL","Wyckoff Ledge",6006.00,"Lophogorgia chilensis","red gorgonian",2003,9/8/2003 0:00:00,0.00,0.00,0.00,0.00,12,720.00
